rmse,testMean,district,model,DISTRICT_
33.84927968094753,216.75,dist_1,sarima,1
65.09557079904489,582.0833333333334,dist_2,sarima,2
46.70090855682764,729.0833333333335,dist_18,sarima,18
6.987550234475722,54.25,dist_77,sarima,77
33.32877260485533,592.0,dist_3,sarima,3
19.449260361673158,186.08333333333331,dist_5,sarima,5
72.08685308722106,640.25,dist_6,sarima,6
70.30753775190557,738.3333333333335,dist_14,sarima,14
66.63028426185639,391.0,dist_17,sarima,17
25.570132114010228,220.16666666666663,dist_7,sarima,7
42.64575699418644,383.5,dist_8,sarima,8
68.19598902414559,622.0833333333334,dist_9,sarima,9
57.08537853101152,502.0,dist_16,sarima,16
112.22735282578726,972.0833333333335,dist_15,sarima,15
99.4352729447226,942.1666666666665,dist_22,sarima,22
51.52398900679431,1076.0833333333333,dist_24,sarima,24
67.16070641494888,699.0833333333335,dist_12,sarima,12
121.89945343756443,1023.5,dist_19,sarima,19
72.75038990678976,850.5833333333335,dist_35,sarima,35
59.41971387437562,798.3333333333335,dist_25,sarima,25
38.147468259032415,504.66666666666674,dist_26,sarima,26
152.70288103371772,828.8333333333335,dist_39,sarima,39
22.213596050588773,216.75,dist_1,prophet,1
58.92746563811861,582.0833333333334,dist_2,prophet,2
49.06205338415997,729.0833333333335,dist_18,prophet,18
8.538540746677326,54.25,dist_77,prophet,77
46.707007541116106,592.0,dist_3,prophet,3
18.527574555017058,186.08333333333331,dist_5,prophet,5
54.535621067204325,640.25,dist_6,prophet,6
50.917292248560926,738.3333333333335,dist_14,prophet,14
87.38221586119953,391.0,dist_17,prophet,17
26.43160441412439,220.16666666666663,dist_7,prophet,7
47.08271815972599,383.5,dist_8,prophet,8
84.92913033569414,622.0833333333334,dist_9,prophet,9
56.203519781993144,502.0,dist_16,prophet,16
118.41857870576142,972.0833333333335,dist_15,prophet,15
76.84345396399671,942.1666666666665,dist_22,prophet,22
63.029385523288404,1076.0833333333333,dist_24,prophet,24
61.70779359931185,699.0833333333335,dist_12,prophet,12
139.20608689947602,1023.5,dist_19,prophet,19
90.89322058431574,850.5833333333335,dist_35,prophet,35
49.349426301189574,798.3333333333335,dist_25,prophet,25
41.103953395093626,504.66666666666674,dist_26,prophet,26
105.3307824819103,828.8333333333335,dist_39,prophet,39
