,city,dist_1,dist_2,dist_18,dist_77,dist_3,dist_5,dist_6,dist_14,dist_17,dist_7,dist_8,dist_9,dist_16,dist_15,dist_22,dist_24,dist_12,dist_19,dist_35,dist_25,dist_26,dist_39,type
2008-04-30,19582.0,394.0,916.0,1003.0,71.0,415.0,298.0,811.0,1106.0,658.0,338.0,688.0,705.0,600.0,1671.0,935.0,1315.0,1121.0,989.0,1370.0,1359.0,604.0,862.0,Actual Values
2008-05-31,18786.0,411.0,904.0,988.0,70.0,477.0,273.0,857.0,1046.0,684.0,341.0,684.0,683.0,717.0,1518.0,836.0,1135.0,1229.0,906.0,1134.0,1256.0,677.0,744.0,Actual Values
2008-06-30,20131.0,431.0,1002.0,1057.0,65.0,486.0,269.0,870.0,1066.0,699.0,365.0,722.0,740.0,647.0,1884.0,792.0,1317.0,1196.0,1107.0,1281.0,1239.0,724.0,870.0,Actual Values
2008-07-31,20723.0,493.0,1010.0,1013.0,72.0,519.0,254.0,870.0,1172.0,755.0,383.0,702.0,769.0,728.0,1907.0,842.0,1381.0,1213.0,1198.0,1228.0,1361.0,667.0,913.0,Actual Values
2008-08-31,20975.0,441.0,1033.0,1016.0,78.0,437.0,314.0,836.0,1098.0,757.0,388.0,638.0,729.0,784.0,1878.0,914.0,1529.0,1213.0,1105.0,1242.0,1536.0,744.0,928.0,Actual Values
2008-09-30,18139.0,379.0,840.0,1046.0,70.0,393.0,302.0,775.0,990.0,613.0,403.0,622.0,632.0,591.0,1519.0,782.0,1255.0,1100.0,896.0,1114.0,1280.0,627.0,770.0,Actual Values
2008-10-31,18351.0,415.0,783.0,962.0,46.0,427.0,301.0,839.0,1043.0,637.0,343.0,612.0,782.0,586.0,1535.0,792.0,1074.0,1030.0,965.0,1198.0,1263.0,735.0,791.0,Actual Values
2008-11-30,16547.0,356.0,742.0,947.0,57.0,334.0,270.0,685.0,921.0,572.0,367.0,616.0,704.0,549.0,1406.0,701.0,1025.0,852.0,839.0,1071.0,1159.0,640.0,734.0,Actual Values
2008-12-31,16816.0,330.0,845.0,915.0,56.0,348.0,278.0,649.0,948.0,616.0,359.0,589.0,622.0,564.0,1470.0,686.0,1122.0,903.0,956.0,1071.0,1236.0,636.0,666.0,Actual Values
2009-01-31,15665.0,343.0,858.0,951.0,61.0,279.0,236.0,659.0,923.0,499.0,325.0,532.0,638.0,502.0,1403.0,611.0,1079.0,863.0,868.0,965.0,999.0,619.0,644.0,Actual Values
2009-02-28,14473.0,301.0,716.0,834.0,41.0,343.0,229.0,613.0,803.0,445.0,301.0,401.0,482.0,517.0,1517.0,576.0,956.0,852.0,807.0,842.0,933.0,594.0,584.0,Actual Values
2009-03-31,17470.0,347.0,1072.0,754.0,43.0,387.0,280.0,783.0,1019.0,530.0,302.0,619.0,559.0,639.0,1640.0,728.0,1217.0,995.0,899.0,1074.0,1201.0,578.0,762.0,Actual Values
2009-04-30,17867.0,363.0,932.0,848.0,40.0,381.0,255.0,706.0,935.0,540.0,359.0,556.0,716.0,717.0,1557.0,714.0,1380.0,943.0,979.0,1084.0,1184.0,711.0,707.0,Actual Values
2009-05-31,18484.0,376.0,944.0,906.0,54.0,383.0,236.0,732.0,1069.0,655.0,360.0,597.0,739.0,680.0,1503.0,770.0,1261.0,1021.0,1037.0,1144.0,1276.0,663.0,813.0,Actual Values
2009-06-30,18394.0,358.0,950.0,851.0,44.0,517.0,282.0,719.0,986.0,705.0,370.0,690.0,654.0,651.0,1561.0,754.0,1405.0,1101.0,1017.0,1017.0,1197.0,707.0,729.0,Actual Values
2009-07-31,18837.0,398.0,899.0,898.0,58.0,493.0,260.0,792.0,969.0,713.0,367.0,630.0,711.0,586.0,1616.0,809.0,1407.0,1235.0,1069.0,1068.0,1154.0,710.0,732.0,Actual Values
2009-08-31,18976.0,466.0,969.0,950.0,51.0,465.0,229.0,807.0,987.0,781.0,460.0,703.0,692.0,712.0,1513.0,785.0,1402.0,1132.0,1078.0,1019.0,1199.0,758.0,674.0,Actual Values
2009-09-30,17025.0,380.0,805.0,975.0,58.0,423.0,207.0,771.0,921.0,672.0,353.0,607.0,671.0,560.0,1463.0,744.0,1176.0,962.0,889.0,939.0,1007.0,691.0,685.0,Actual Values
2009-10-31,17058.0,427.0,871.0,969.0,51.0,327.0,246.0,765.0,873.0,664.0,340.0,607.0,643.0,524.0,1423.0,879.0,1132.0,899.0,948.0,1014.0,1050.0,623.0,649.0,Actual Values
2009-11-30,16053.0,364.0,777.0,840.0,41.0,314.0,235.0,634.0,841.0,614.0,325.0,611.0,571.0,538.0,1402.0,773.0,1113.0,926.0,932.0,998.0,1104.0,545.0,615.0,Actual Values
2009-12-31,14742.0,326.0,748.0,760.0,52.0,256.0,196.0,637.0,764.0,559.0,368.0,567.0,560.0,470.0,1414.0,638.0,1042.0,800.0,752.0,856.0,959.0,591.0,601.0,Actual Values
2010-01-31,15404.0,345.0,849.0,768.0,45.0,264.0,238.0,730.0,836.0,555.0,321.0,447.0,599.0,536.0,1352.0,1066.0,1056.0,913.0,858.0,925.0,1076.0,557.0,542.0,Actual Values
2010-02-28,12082.0,291.0,672.0,586.0,29.0,186.0,175.0,499.0,645.0,438.0,245.0,387.0,484.0,452.0,1027.0,879.0,911.0,653.0,769.0,676.0,828.0,467.0,445.0,Actual Values
2010-03-31,16553.0,392.0,909.0,797.0,64.0,675.0,207.0,710.0,943.0,596.0,327.0,468.0,596.0,591.0,1612.0,1122.0,1237.0,967.0,926.0,972.0,1014.0,653.0,700.0,Actual Values
2010-04-30,16962.0,451.0,903.0,834.0,48.0,867.0,225.0,742.0,820.0,620.0,362.0,550.0,592.0,536.0,1489.0,1258.0,1270.0,1092.0,1039.0,973.0,973.0,626.0,692.0,Actual Values
2010-05-31,18354.0,428.0,1010.0,893.0,31.0,913.0,249.0,782.0,1042.0,596.0,378.0,593.0,800.0,644.0,1631.0,1205.0,1354.0,1168.0,1097.0,1005.0,1110.0,735.0,690.0,Actual Values
2010-06-30,18109.0,434.0,957.0,818.0,49.0,931.0,218.0,773.0,1083.0,715.0,407.0,662.0,776.0,586.0,1512.0,1223.0,1184.0,1093.0,1079.0,1082.0,1075.0,660.0,792.0,Actual Values
2010-07-31,18716.0,538.0,993.0,918.0,56.0,976.0,250.0,810.0,1059.0,727.0,341.0,690.0,732.0,682.0,1425.0,1233.0,1252.0,1177.0,1206.0,1029.0,1103.0,699.0,820.0,Actual Values
2010-08-31,19193.0,481.0,963.0,921.0,56.0,1055.0,257.0,752.0,998.0,774.0,457.0,695.0,778.0,684.0,1696.0,1266.0,1369.0,1025.0,1232.0,1093.0,1217.0,692.0,732.0,Actual Values
2010-09-30,16946.0,411.0,887.0,865.0,47.0,972.0,229.0,726.0,840.0,705.0,331.0,567.0,743.0,530.0,1519.0,1092.0,1063.0,932.0,1004.0,985.0,1079.0,681.0,738.0,Actual Values
