rmse,testMean,district,model,DISTRICT_
374.8792823847824,13552.916666666666,city,sarima,0
33.84927968094753,216.75,dist_1,sarima,1
65.0955707990449,582.0833333333334,dist_2,sarima,2
46.700908556827635,729.0833333333334,dist_18,sarima,18
6.987550234475722,54.25,dist_77,sarima,77
33.32877260485533,592.0,dist_3,sarima,3
19.44926036167316,186.08333333333334,dist_5,sarima,5
72.08685308722107,640.25,dist_6,sarima,6
70.30753775190558,738.3333333333334,dist_14,sarima,14
66.6302842618564,391.0,dist_17,sarima,17
25.57013211401023,220.16666666666666,dist_7,sarima,7
42.645756994186435,383.5,dist_8,sarima,8
68.19598902414559,622.0833333333334,dist_9,sarima,9
57.08537853101152,502.0,dist_16,sarima,16
112.22735282578726,972.0833333333334,dist_15,sarima,15
99.4352729447226,942.1666666666666,dist_22,sarima,22
51.52398900679431,1076.0833333333333,dist_24,sarima,24
67.16070641494888,699.0833333333334,dist_12,sarima,12
121.89945343756445,1023.5,dist_19,sarima,19
72.75038990678976,850.5833333333334,dist_35,sarima,35
59.41971387437562,798.3333333333334,dist_25,sarima,25
38.147468259032415,504.6666666666667,dist_26,sarima,26
152.70288103371772,828.8333333333334,dist_39,sarima,39
