ds,values,district,type,model,DISTRICT_
2006-01-31,19359.0,city,Time Series,prophet,0
2006-02-28,15894.0,city,Time Series,prophet,0
2006-03-31,18627.0,city,Time Series,prophet,0
2006-04-30,18940.0,city,Time Series,prophet,0
2006-05-31,20041.0,city,Time Series,prophet,0
2006-06-30,20366.0,city,Time Series,prophet,0
2006-07-31,21159.0,city,Time Series,prophet,0
2006-08-31,21952.0,city,Time Series,prophet,0
2006-09-30,19644.0,city,Time Series,prophet,0
2006-10-31,20719.0,city,Time Series,prophet,0
2006-11-30,19272.0,city,Time Series,prophet,0
2006-12-31,18782.0,city,Time Series,prophet,0
2007-01-31,18235.0,city,Time Series,prophet,0
2007-02-28,14472.0,city,Time Series,prophet,0
2007-03-31,18666.0,city,Time Series,prophet,0
2007-04-30,19077.0,city,Time Series,prophet,0
2007-05-31,20385.0,city,Time Series,prophet,0
2007-06-30,19143.0,city,Time Series,prophet,0
2007-07-31,20313.0,city,Time Series,prophet,0
2007-08-31,20239.0,city,Time Series,prophet,0
2007-09-30,19046.0,city,Time Series,prophet,0
2007-10-31,19303.0,city,Time Series,prophet,0
2007-11-30,17392.0,city,Time Series,prophet,0
2007-12-31,17631.0,city,Time Series,prophet,0
2008-01-31,17999.0,city,Time Series,prophet,0
2008-02-29,16424.0,city,Time Series,prophet,0
2008-03-31,19262.0,city,Time Series,prophet,0
2008-04-30,19582.0,city,Time Series,prophet,0
2008-05-31,18786.0,city,Time Series,prophet,0
2008-06-30,20131.0,city,Time Series,prophet,0
2008-07-31,20723.0,city,Time Series,prophet,0
2008-08-31,20975.0,city,Time Series,prophet,0
2008-09-30,18139.0,city,Time Series,prophet,0
2008-10-31,18351.0,city,Time Series,prophet,0
2008-11-30,16547.0,city,Time Series,prophet,0
2008-12-31,16816.0,city,Time Series,prophet,0
2009-01-31,15665.0,city,Time Series,prophet,0
2009-02-28,14473.0,city,Time Series,prophet,0
2009-03-31,17470.0,city,Time Series,prophet,0
2009-04-30,17867.0,city,Time Series,prophet,0
2009-05-31,18484.0,city,Time Series,prophet,0
2009-06-30,18394.0,city,Time Series,prophet,0
2009-07-31,18837.0,city,Time Series,prophet,0
2009-08-31,18976.0,city,Time Series,prophet,0
2009-09-30,17025.0,city,Time Series,prophet,0
2009-10-31,17058.0,city,Time Series,prophet,0
2009-11-30,16053.0,city,Time Series,prophet,0
2009-12-31,14742.0,city,Time Series,prophet,0
2010-01-31,15404.0,city,Time Series,prophet,0
2010-02-28,12082.0,city,Time Series,prophet,0
2010-03-31,16553.0,city,Time Series,prophet,0
2010-04-30,16962.0,city,Time Series,prophet,0
2010-05-31,18354.0,city,Time Series,prophet,0
2010-06-30,18109.0,city,Time Series,prophet,0
2010-07-31,18716.0,city,Time Series,prophet,0
2010-08-31,19193.0,city,Time Series,prophet,0
2010-09-30,16946.0,city,Time Series,prophet,0
2010-10-31,17107.0,city,Time Series,prophet,0
2010-11-30,16095.0,city,Time Series,prophet,0
2010-12-31,13894.0,city,Time Series,prophet,0
2011-01-31,13724.0,city,Time Series,prophet,0
2011-02-28,13820.0,city,Time Series,prophet,0
2011-03-31,16694.0,city,Time Series,prophet,0
2011-04-30,16914.0,city,Time Series,prophet,0
2011-05-31,17427.0,city,Time Series,prophet,0
2011-06-30,17900.0,city,Time Series,prophet,0
2011-07-31,17929.0,city,Time Series,prophet,0
2011-08-31,17913.0,city,Time Series,prophet,0
2011-09-30,17004.0,city,Time Series,prophet,0
2011-10-31,16053.0,city,Time Series,prophet,0
2011-11-30,15333.0,city,Time Series,prophet,0
2011-12-31,14810.0,city,Time Series,prophet,0
2012-01-31,15370.0,city,Time Series,prophet,0
2012-02-29,15092.0,city,Time Series,prophet,0
2012-03-31,16637.0,city,Time Series,prophet,0
2012-04-30,16659.0,city,Time Series,prophet,0
2012-05-31,17797.0,city,Time Series,prophet,0
2012-06-30,17549.0,city,Time Series,prophet,0
2012-07-31,17513.0,city,Time Series,prophet,0
2012-08-31,17684.0,city,Time Series,prophet,0
2012-09-30,16843.0,city,Time Series,prophet,0
2012-10-31,16699.0,city,Time Series,prophet,0
2012-11-30,14528.0,city,Time Series,prophet,0
2012-12-31,14384.0,city,Time Series,prophet,0
2013-01-31,14327.0,city,Time Series,prophet,0
2013-02-28,12834.0,city,Time Series,prophet,0
2013-03-31,15235.0,city,Time Series,prophet,0
2013-04-30,15582.0,city,Time Series,prophet,0
2013-05-31,16951.0,city,Time Series,prophet,0
2013-06-30,16755.0,city,Time Series,prophet,0
2013-07-31,17178.0,city,Time Series,prophet,0
2013-08-31,17487.0,city,Time Series,prophet,0
2013-09-30,15977.0,city,Time Series,prophet,0
2013-10-31,16589.0,city,Time Series,prophet,0
2013-11-30,14481.0,city,Time Series,prophet,0
2013-12-31,13093.0,city,Time Series,prophet,0
2014-01-31,12316.0,city,Time Series,prophet,0
2014-02-28,11252.0,city,Time Series,prophet,0
2014-03-31,14146.0,city,Time Series,prophet,0
2014-04-30,15832.0,city,Time Series,prophet,0
2014-05-31,17385.0,city,Time Series,prophet,0
2014-06-30,16819.0,city,Time Series,prophet,0
2014-07-31,18012.0,city,Time Series,prophet,0
2014-08-31,16813.0,city,Time Series,prophet,0
2014-09-30,16819.0,city,Time Series,prophet,0
2014-10-31,17664.0,city,Time Series,prophet,0
2014-11-30,14880.0,city,Time Series,prophet,0
2014-12-31,14208.0,city,Time Series,prophet,0
2015-01-31,13634.0,city,Time Series,prophet,0
2015-02-28,12266.0,city,Time Series,prophet,0
2015-03-31,14367.0,city,Time Series,prophet,0
2015-04-30,16766.0,city,Time Series,prophet,0
2015-05-31,17067.0,city,Time Series,prophet,0
2015-06-30,16429.0,city,Time Series,prophet,0
2015-07-31,17227.0,city,Time Series,prophet,0
2015-08-31,17388.0,city,Time Series,prophet,0
2015-09-30,15358.0,city,Time Series,prophet,0
2015-10-31,15188.0,city,Time Series,prophet,0
2015-11-30,13875.0,city,Time Series,prophet,0
2015-12-31,13735.0,city,Time Series,prophet,0
2016-01-31,12042.0,city,Time Series,prophet,0
2016-02-29,12224.0,city,Time Series,prophet,0
2016-03-31,13931.0,city,Time Series,prophet,0
2016-04-30,14170.0,city,Time Series,prophet,0
2016-05-31,15367.0,city,Time Series,prophet,0
2016-06-30,15331.0,city,Time Series,prophet,0
2016-07-31,14174.0,city,Time Series,prophet,0
2016-08-31,15789.0,city,Time Series,prophet,0
2016-09-30,14482.0,city,Time Series,prophet,0
2016-10-31,15311.0,city,Time Series,prophet,0
2016-11-30,13497.0,city,Time Series,prophet,0
2016-12-31,12783.0,city,Time Series,prophet,0
2017-01-31,12970.0,city,Time Series,prophet,0
2017-02-28,11830.0,city,Time Series,prophet,0
2017-03-31,12983.0,city,Time Series,prophet,0
2017-04-30,13953.0,city,Time Series,prophet,0
2017-05-31,15066.0,city,Time Series,prophet,0
2017-06-30,15269.0,city,Time Series,prophet,0
2017-07-31,15382.0,city,Time Series,prophet,0
2017-08-31,15202.0,city,Time Series,prophet,0
2017-09-30,14702.0,city,Time Series,prophet,0
2017-10-31,14740.0,city,Time Series,prophet,0
2017-11-30,13083.0,city,Time Series,prophet,0
2017-12-31,12141.0,city,Time Series,prophet,0
2018-01-31,12400.0,city,Time Series,prophet,0
2018-02-28,11676.0,city,Time Series,prophet,0
2018-03-31,12001.0,city,Time Series,prophet,0
2018-04-30,13940.0,city,Time Series,prophet,0
2018-05-31,14724.0,city,Time Series,prophet,0
2018-06-30,14585.0,city,Time Series,prophet,0
2018-07-31,14732.0,city,Time Series,prophet,0
2018-08-31,14758.0,city,Time Series,prophet,0
2018-09-30,14007.0,city,Time Series,prophet,0
2018-10-31,14320.0,city,Time Series,prophet,0
2018-11-30,12260.0,city,Time Series,prophet,0
2018-12-31,12706.0,city,Time Series,prophet,0
2019-01-31,12649.0,city,Time Series,prophet,0
2019-02-28,11374.0,city,Time Series,prophet,0
2019-03-31,12717.0,city,Time Series,prophet,0
2019-04-30,13803.0,city,Time Series,prophet,0
2006-01-31,512.0,dist_1,Time Series,prophet,1
2006-02-28,385.0,dist_1,Time Series,prophet,1
2006-03-31,561.0,dist_1,Time Series,prophet,1
2006-04-30,466.0,dist_1,Time Series,prophet,1
2006-05-31,458.0,dist_1,Time Series,prophet,1
2006-06-30,530.0,dist_1,Time Series,prophet,1
2006-07-31,559.0,dist_1,Time Series,prophet,1
2006-08-31,542.0,dist_1,Time Series,prophet,1
2006-09-30,409.0,dist_1,Time Series,prophet,1
2006-10-31,438.0,dist_1,Time Series,prophet,1
2006-11-30,414.0,dist_1,Time Series,prophet,1
2006-12-31,424.0,dist_1,Time Series,prophet,1
2007-01-31,411.0,dist_1,Time Series,prophet,1
2007-02-28,289.0,dist_1,Time Series,prophet,1
2007-03-31,382.0,dist_1,Time Series,prophet,1
2007-04-30,394.0,dist_1,Time Series,prophet,1
2007-05-31,437.0,dist_1,Time Series,prophet,1
2007-06-30,441.0,dist_1,Time Series,prophet,1
2007-07-31,475.0,dist_1,Time Series,prophet,1
2007-08-31,456.0,dist_1,Time Series,prophet,1
2007-09-30,422.0,dist_1,Time Series,prophet,1
2007-10-31,409.0,dist_1,Time Series,prophet,1
2007-11-30,427.0,dist_1,Time Series,prophet,1
2007-12-31,346.0,dist_1,Time Series,prophet,1
2008-01-31,412.0,dist_1,Time Series,prophet,1
2008-02-29,366.0,dist_1,Time Series,prophet,1
2008-03-31,398.0,dist_1,Time Series,prophet,1
2008-04-30,394.0,dist_1,Time Series,prophet,1
2008-05-31,411.0,dist_1,Time Series,prophet,1
2008-06-30,431.0,dist_1,Time Series,prophet,1
2008-07-31,493.0,dist_1,Time Series,prophet,1
2008-08-31,441.0,dist_1,Time Series,prophet,1
2008-09-30,379.0,dist_1,Time Series,prophet,1
2008-10-31,415.0,dist_1,Time Series,prophet,1
2008-11-30,356.0,dist_1,Time Series,prophet,1
2008-12-31,330.0,dist_1,Time Series,prophet,1
2009-01-31,343.0,dist_1,Time Series,prophet,1
2009-02-28,301.0,dist_1,Time Series,prophet,1
2009-03-31,347.0,dist_1,Time Series,prophet,1
2009-04-30,363.0,dist_1,Time Series,prophet,1
2009-05-31,376.0,dist_1,Time Series,prophet,1
2009-06-30,358.0,dist_1,Time Series,prophet,1
2009-07-31,398.0,dist_1,Time Series,prophet,1
2009-08-31,466.0,dist_1,Time Series,prophet,1
2009-09-30,380.0,dist_1,Time Series,prophet,1
2009-10-31,427.0,dist_1,Time Series,prophet,1
2009-11-30,364.0,dist_1,Time Series,prophet,1
2009-12-31,326.0,dist_1,Time Series,prophet,1
2010-01-31,345.0,dist_1,Time Series,prophet,1
2010-02-28,291.0,dist_1,Time Series,prophet,1
2010-03-31,392.0,dist_1,Time Series,prophet,1
2010-04-30,451.0,dist_1,Time Series,prophet,1
2010-05-31,428.0,dist_1,Time Series,prophet,1
2010-06-30,434.0,dist_1,Time Series,prophet,1
2010-07-31,538.0,dist_1,Time Series,prophet,1
2010-08-31,481.0,dist_1,Time Series,prophet,1
2010-09-30,411.0,dist_1,Time Series,prophet,1
2010-10-31,453.0,dist_1,Time Series,prophet,1
2010-11-30,359.0,dist_1,Time Series,prophet,1
2010-12-31,342.0,dist_1,Time Series,prophet,1
2011-01-31,301.0,dist_1,Time Series,prophet,1
2011-02-28,290.0,dist_1,Time Series,prophet,1
2011-03-31,347.0,dist_1,Time Series,prophet,1
2011-04-30,356.0,dist_1,Time Series,prophet,1
2011-05-31,429.0,dist_1,Time Series,prophet,1
2011-06-30,486.0,dist_1,Time Series,prophet,1
2011-07-31,473.0,dist_1,Time Series,prophet,1
2011-08-31,443.0,dist_1,Time Series,prophet,1
2011-09-30,430.0,dist_1,Time Series,prophet,1
2011-10-31,384.0,dist_1,Time Series,prophet,1
2011-11-30,326.0,dist_1,Time Series,prophet,1
2011-12-31,340.0,dist_1,Time Series,prophet,1
2012-01-31,340.0,dist_1,Time Series,prophet,1
2012-02-29,352.0,dist_1,Time Series,prophet,1
2012-03-31,417.0,dist_1,Time Series,prophet,1
2012-04-30,394.0,dist_1,Time Series,prophet,1
2012-05-31,365.0,dist_1,Time Series,prophet,1
2012-06-30,450.0,dist_1,Time Series,prophet,1
2012-07-31,412.0,dist_1,Time Series,prophet,1
2012-08-31,384.0,dist_1,Time Series,prophet,1
2012-09-30,379.0,dist_1,Time Series,prophet,1
2012-10-31,378.0,dist_1,Time Series,prophet,1
2012-11-30,289.0,dist_1,Time Series,prophet,1
2012-12-31,303.0,dist_1,Time Series,prophet,1
2013-01-31,262.0,dist_1,Time Series,prophet,1
2013-02-28,267.0,dist_1,Time Series,prophet,1
2013-03-31,338.0,dist_1,Time Series,prophet,1
2013-04-30,299.0,dist_1,Time Series,prophet,1
2013-05-31,323.0,dist_1,Time Series,prophet,1
2013-06-30,378.0,dist_1,Time Series,prophet,1
2013-07-31,348.0,dist_1,Time Series,prophet,1
2013-08-31,380.0,dist_1,Time Series,prophet,1
2013-09-30,345.0,dist_1,Time Series,prophet,1
2013-10-31,320.0,dist_1,Time Series,prophet,1
2013-11-30,262.0,dist_1,Time Series,prophet,1
2013-12-31,255.0,dist_1,Time Series,prophet,1
2014-01-31,238.0,dist_1,Time Series,prophet,1
2014-02-28,225.0,dist_1,Time Series,prophet,1
2014-03-31,267.0,dist_1,Time Series,prophet,1
2014-04-30,303.0,dist_1,Time Series,prophet,1
2014-05-31,304.0,dist_1,Time Series,prophet,1
2014-06-30,316.0,dist_1,Time Series,prophet,1
2014-07-31,372.0,dist_1,Time Series,prophet,1
2014-08-31,353.0,dist_1,Time Series,prophet,1
2014-09-30,295.0,dist_1,Time Series,prophet,1
2014-10-31,338.0,dist_1,Time Series,prophet,1
2014-11-30,260.0,dist_1,Time Series,prophet,1
2014-12-31,240.0,dist_1,Time Series,prophet,1
2015-01-31,243.0,dist_1,Time Series,prophet,1
2015-02-28,248.0,dist_1,Time Series,prophet,1
2015-03-31,246.0,dist_1,Time Series,prophet,1
2015-04-30,329.0,dist_1,Time Series,prophet,1
2015-05-31,337.0,dist_1,Time Series,prophet,1
2015-06-30,309.0,dist_1,Time Series,prophet,1
2015-07-31,297.0,dist_1,Time Series,prophet,1
2015-08-31,357.0,dist_1,Time Series,prophet,1
2015-09-30,332.0,dist_1,Time Series,prophet,1
2015-10-31,315.0,dist_1,Time Series,prophet,1
2015-11-30,321.0,dist_1,Time Series,prophet,1
2015-12-31,298.0,dist_1,Time Series,prophet,1
2016-01-31,257.0,dist_1,Time Series,prophet,1
2016-02-29,225.0,dist_1,Time Series,prophet,1
2016-03-31,277.0,dist_1,Time Series,prophet,1
2016-04-30,252.0,dist_1,Time Series,prophet,1
2016-05-31,317.0,dist_1,Time Series,prophet,1
2016-06-30,274.0,dist_1,Time Series,prophet,1
2016-07-31,354.0,dist_1,Time Series,prophet,1
2016-08-31,322.0,dist_1,Time Series,prophet,1
2016-09-30,352.0,dist_1,Time Series,prophet,1
2016-10-31,304.0,dist_1,Time Series,prophet,1
2016-11-30,233.0,dist_1,Time Series,prophet,1
2016-12-31,265.0,dist_1,Time Series,prophet,1
2017-01-31,226.0,dist_1,Time Series,prophet,1
2017-02-28,235.0,dist_1,Time Series,prophet,1
2017-03-31,235.0,dist_1,Time Series,prophet,1
2017-04-30,227.0,dist_1,Time Series,prophet,1
2017-05-31,252.0,dist_1,Time Series,prophet,1
2017-06-30,251.0,dist_1,Time Series,prophet,1
2017-07-31,242.0,dist_1,Time Series,prophet,1
2017-08-31,270.0,dist_1,Time Series,prophet,1
2017-09-30,251.0,dist_1,Time Series,prophet,1
2017-10-31,233.0,dist_1,Time Series,prophet,1
2017-11-30,210.0,dist_1,Time Series,prophet,1
2017-12-31,204.0,dist_1,Time Series,prophet,1
2018-01-31,213.0,dist_1,Time Series,prophet,1
2018-02-28,212.0,dist_1,Time Series,prophet,1
2018-03-31,185.0,dist_1,Time Series,prophet,1
2018-04-30,200.0,dist_1,Time Series,prophet,1
2018-05-31,241.0,dist_1,Time Series,prophet,1
2018-06-30,226.0,dist_1,Time Series,prophet,1
2018-07-31,249.0,dist_1,Time Series,prophet,1
2018-08-31,211.0,dist_1,Time Series,prophet,1
2018-09-30,239.0,dist_1,Time Series,prophet,1
2018-10-31,242.0,dist_1,Time Series,prophet,1
2018-11-30,183.0,dist_1,Time Series,prophet,1
2018-12-31,214.0,dist_1,Time Series,prophet,1
2019-01-31,178.0,dist_1,Time Series,prophet,1
2019-02-28,168.0,dist_1,Time Series,prophet,1
2019-03-31,211.0,dist_1,Time Series,prophet,1
2019-04-30,239.0,dist_1,Time Series,prophet,1
2006-01-31,794.0,dist_2,Time Series,prophet,2
2006-02-28,712.0,dist_2,Time Series,prophet,2
2006-03-31,817.0,dist_2,Time Series,prophet,2
2006-04-30,922.0,dist_2,Time Series,prophet,2
2006-05-31,1029.0,dist_2,Time Series,prophet,2
2006-06-30,953.0,dist_2,Time Series,prophet,2
2006-07-31,1066.0,dist_2,Time Series,prophet,2
2006-08-31,1032.0,dist_2,Time Series,prophet,2
2006-09-30,893.0,dist_2,Time Series,prophet,2
2006-10-31,972.0,dist_2,Time Series,prophet,2
2006-11-30,922.0,dist_2,Time Series,prophet,2
2006-12-31,974.0,dist_2,Time Series,prophet,2
2007-01-31,808.0,dist_2,Time Series,prophet,2
2007-02-28,766.0,dist_2,Time Series,prophet,2
2007-03-31,835.0,dist_2,Time Series,prophet,2
2007-04-30,826.0,dist_2,Time Series,prophet,2
2007-05-31,844.0,dist_2,Time Series,prophet,2
2007-06-30,941.0,dist_2,Time Series,prophet,2
2007-07-31,1027.0,dist_2,Time Series,prophet,2
2007-08-31,986.0,dist_2,Time Series,prophet,2
2007-09-30,923.0,dist_2,Time Series,prophet,2
2007-10-31,908.0,dist_2,Time Series,prophet,2
2007-11-30,894.0,dist_2,Time Series,prophet,2
2007-12-31,826.0,dist_2,Time Series,prophet,2
2008-01-31,826.0,dist_2,Time Series,prophet,2
2008-02-29,799.0,dist_2,Time Series,prophet,2
2008-03-31,930.0,dist_2,Time Series,prophet,2
2008-04-30,916.0,dist_2,Time Series,prophet,2
2008-05-31,904.0,dist_2,Time Series,prophet,2
2008-06-30,1002.0,dist_2,Time Series,prophet,2
2008-07-31,1010.0,dist_2,Time Series,prophet,2
2008-08-31,1033.0,dist_2,Time Series,prophet,2
2008-09-30,840.0,dist_2,Time Series,prophet,2
2008-10-31,783.0,dist_2,Time Series,prophet,2
2008-11-30,742.0,dist_2,Time Series,prophet,2
2008-12-31,845.0,dist_2,Time Series,prophet,2
2009-01-31,858.0,dist_2,Time Series,prophet,2
2009-02-28,716.0,dist_2,Time Series,prophet,2
2009-03-31,1072.0,dist_2,Time Series,prophet,2
2009-04-30,932.0,dist_2,Time Series,prophet,2
2009-05-31,944.0,dist_2,Time Series,prophet,2
2009-06-30,950.0,dist_2,Time Series,prophet,2
2009-07-31,899.0,dist_2,Time Series,prophet,2
2009-08-31,969.0,dist_2,Time Series,prophet,2
2009-09-30,805.0,dist_2,Time Series,prophet,2
2009-10-31,871.0,dist_2,Time Series,prophet,2
2009-11-30,777.0,dist_2,Time Series,prophet,2
2009-12-31,748.0,dist_2,Time Series,prophet,2
2010-01-31,849.0,dist_2,Time Series,prophet,2
2010-02-28,672.0,dist_2,Time Series,prophet,2
2010-03-31,909.0,dist_2,Time Series,prophet,2
2010-04-30,903.0,dist_2,Time Series,prophet,2
2010-05-31,1010.0,dist_2,Time Series,prophet,2
2010-06-30,957.0,dist_2,Time Series,prophet,2
2010-07-31,993.0,dist_2,Time Series,prophet,2
2010-08-31,963.0,dist_2,Time Series,prophet,2
2010-09-30,887.0,dist_2,Time Series,prophet,2
2010-10-31,838.0,dist_2,Time Series,prophet,2
2010-11-30,791.0,dist_2,Time Series,prophet,2
2010-12-31,693.0,dist_2,Time Series,prophet,2
2011-01-31,689.0,dist_2,Time Series,prophet,2
2011-02-28,691.0,dist_2,Time Series,prophet,2
2011-03-31,925.0,dist_2,Time Series,prophet,2
2011-04-30,983.0,dist_2,Time Series,prophet,2
2011-05-31,1002.0,dist_2,Time Series,prophet,2
2011-06-30,1079.0,dist_2,Time Series,prophet,2
2011-07-31,1045.0,dist_2,Time Series,prophet,2
2011-08-31,1029.0,dist_2,Time Series,prophet,2
2011-09-30,926.0,dist_2,Time Series,prophet,2
2011-10-31,998.0,dist_2,Time Series,prophet,2
2011-11-30,941.0,dist_2,Time Series,prophet,2
2011-12-31,879.0,dist_2,Time Series,prophet,2
2012-01-31,973.0,dist_2,Time Series,prophet,2
2012-02-29,868.0,dist_2,Time Series,prophet,2
2012-03-31,990.0,dist_2,Time Series,prophet,2
2012-04-30,959.0,dist_2,Time Series,prophet,2
2012-05-31,1014.0,dist_2,Time Series,prophet,2
2012-06-30,916.0,dist_2,Time Series,prophet,2
2012-07-31,940.0,dist_2,Time Series,prophet,2
2012-08-31,946.0,dist_2,Time Series,prophet,2
2012-09-30,958.0,dist_2,Time Series,prophet,2
2012-10-31,888.0,dist_2,Time Series,prophet,2
2012-11-30,910.0,dist_2,Time Series,prophet,2
2012-12-31,913.0,dist_2,Time Series,prophet,2
2013-01-31,905.0,dist_2,Time Series,prophet,2
2013-02-28,722.0,dist_2,Time Series,prophet,2
2013-03-31,810.0,dist_2,Time Series,prophet,2
2013-04-30,902.0,dist_2,Time Series,prophet,2
2013-05-31,1022.0,dist_2,Time Series,prophet,2
2013-06-30,967.0,dist_2,Time Series,prophet,2
2013-07-31,1065.0,dist_2,Time Series,prophet,2
2013-08-31,1029.0,dist_2,Time Series,prophet,2
2013-09-30,879.0,dist_2,Time Series,prophet,2
2013-10-31,991.0,dist_2,Time Series,prophet,2
2013-11-30,861.0,dist_2,Time Series,prophet,2
2013-12-31,771.0,dist_2,Time Series,prophet,2
2014-01-31,763.0,dist_2,Time Series,prophet,2
2014-02-28,585.0,dist_2,Time Series,prophet,2
2014-03-31,760.0,dist_2,Time Series,prophet,2
2014-04-30,864.0,dist_2,Time Series,prophet,2
2014-05-31,976.0,dist_2,Time Series,prophet,2
2014-06-30,941.0,dist_2,Time Series,prophet,2
2014-07-31,920.0,dist_2,Time Series,prophet,2
2014-08-31,975.0,dist_2,Time Series,prophet,2
2014-09-30,804.0,dist_2,Time Series,prophet,2
2014-10-31,956.0,dist_2,Time Series,prophet,2
2014-11-30,783.0,dist_2,Time Series,prophet,2
2014-12-31,815.0,dist_2,Time Series,prophet,2
2015-01-31,627.0,dist_2,Time Series,prophet,2
2015-02-28,675.0,dist_2,Time Series,prophet,2
2015-03-31,714.0,dist_2,Time Series,prophet,2
2015-04-30,855.0,dist_2,Time Series,prophet,2
2015-05-31,912.0,dist_2,Time Series,prophet,2
2015-06-30,821.0,dist_2,Time Series,prophet,2
2015-07-31,885.0,dist_2,Time Series,prophet,2
2015-08-31,844.0,dist_2,Time Series,prophet,2
2015-09-30,819.0,dist_2,Time Series,prophet,2
2015-10-31,782.0,dist_2,Time Series,prophet,2
2015-11-30,707.0,dist_2,Time Series,prophet,2
2015-12-31,680.0,dist_2,Time Series,prophet,2
2016-01-31,638.0,dist_2,Time Series,prophet,2
2016-02-29,707.0,dist_2,Time Series,prophet,2
2016-03-31,815.0,dist_2,Time Series,prophet,2
2016-04-30,711.0,dist_2,Time Series,prophet,2
2016-05-31,880.0,dist_2,Time Series,prophet,2
2016-06-30,787.0,dist_2,Time Series,prophet,2
2016-07-31,754.0,dist_2,Time Series,prophet,2
2016-08-31,766.0,dist_2,Time Series,prophet,2
2016-09-30,669.0,dist_2,Time Series,prophet,2
2016-10-31,724.0,dist_2,Time Series,prophet,2
2016-11-30,689.0,dist_2,Time Series,prophet,2
2016-12-31,653.0,dist_2,Time Series,prophet,2
2017-01-31,594.0,dist_2,Time Series,prophet,2
2017-02-28,532.0,dist_2,Time Series,prophet,2
2017-03-31,607.0,dist_2,Time Series,prophet,2
2017-04-30,702.0,dist_2,Time Series,prophet,2
2017-05-31,725.0,dist_2,Time Series,prophet,2
2017-06-30,744.0,dist_2,Time Series,prophet,2
2017-07-31,798.0,dist_2,Time Series,prophet,2
2017-08-31,732.0,dist_2,Time Series,prophet,2
2017-09-30,641.0,dist_2,Time Series,prophet,2
2017-10-31,795.0,dist_2,Time Series,prophet,2
2017-11-30,587.0,dist_2,Time Series,prophet,2
2017-12-31,611.0,dist_2,Time Series,prophet,2
2018-01-31,562.0,dist_2,Time Series,prophet,2
2018-02-28,498.0,dist_2,Time Series,prophet,2
2018-03-31,554.0,dist_2,Time Series,prophet,2
2018-04-30,622.0,dist_2,Time Series,prophet,2
2018-05-31,696.0,dist_2,Time Series,prophet,2
2018-06-30,614.0,dist_2,Time Series,prophet,2
2018-07-31,609.0,dist_2,Time Series,prophet,2
2018-08-31,572.0,dist_2,Time Series,prophet,2
2018-09-30,578.0,dist_2,Time Series,prophet,2
2018-10-31,578.0,dist_2,Time Series,prophet,2
2018-11-30,555.0,dist_2,Time Series,prophet,2
2018-12-31,574.0,dist_2,Time Series,prophet,2
2019-01-31,517.0,dist_2,Time Series,prophet,2
2019-02-28,565.0,dist_2,Time Series,prophet,2
2019-03-31,499.0,dist_2,Time Series,prophet,2
2019-04-30,628.0,dist_2,Time Series,prophet,2
2006-01-31,898.0,dist_18,Time Series,prophet,18
2006-02-28,676.0,dist_18,Time Series,prophet,18
2006-03-31,771.0,dist_18,Time Series,prophet,18
2006-04-30,843.0,dist_18,Time Series,prophet,18
2006-05-31,918.0,dist_18,Time Series,prophet,18
2006-06-30,960.0,dist_18,Time Series,prophet,18
2006-07-31,870.0,dist_18,Time Series,prophet,18
2006-08-31,942.0,dist_18,Time Series,prophet,18
2006-09-30,937.0,dist_18,Time Series,prophet,18
2006-10-31,1094.0,dist_18,Time Series,prophet,18
2006-11-30,931.0,dist_18,Time Series,prophet,18
2006-12-31,900.0,dist_18,Time Series,prophet,18
2007-01-31,911.0,dist_18,Time Series,prophet,18
2007-02-28,614.0,dist_18,Time Series,prophet,18
2007-03-31,755.0,dist_18,Time Series,prophet,18
2007-04-30,792.0,dist_18,Time Series,prophet,18
2007-05-31,923.0,dist_18,Time Series,prophet,18
2007-06-30,890.0,dist_18,Time Series,prophet,18
2007-07-31,880.0,dist_18,Time Series,prophet,18
2007-08-31,922.0,dist_18,Time Series,prophet,18
2007-09-30,898.0,dist_18,Time Series,prophet,18
2007-10-31,973.0,dist_18,Time Series,prophet,18
2007-11-30,928.0,dist_18,Time Series,prophet,18
2007-12-31,821.0,dist_18,Time Series,prophet,18
2008-01-31,884.0,dist_18,Time Series,prophet,18
2008-02-29,816.0,dist_18,Time Series,prophet,18
2008-03-31,984.0,dist_18,Time Series,prophet,18
2008-04-30,1003.0,dist_18,Time Series,prophet,18
2008-05-31,988.0,dist_18,Time Series,prophet,18
2008-06-30,1057.0,dist_18,Time Series,prophet,18
2008-07-31,1013.0,dist_18,Time Series,prophet,18
2008-08-31,1016.0,dist_18,Time Series,prophet,18
2008-09-30,1046.0,dist_18,Time Series,prophet,18
2008-10-31,962.0,dist_18,Time Series,prophet,18
2008-11-30,947.0,dist_18,Time Series,prophet,18
2008-12-31,915.0,dist_18,Time Series,prophet,18
2009-01-31,951.0,dist_18,Time Series,prophet,18
2009-02-28,834.0,dist_18,Time Series,prophet,18
2009-03-31,754.0,dist_18,Time Series,prophet,18
2009-04-30,848.0,dist_18,Time Series,prophet,18
2009-05-31,906.0,dist_18,Time Series,prophet,18
2009-06-30,851.0,dist_18,Time Series,prophet,18
2009-07-31,898.0,dist_18,Time Series,prophet,18
2009-08-31,950.0,dist_18,Time Series,prophet,18
2009-09-30,975.0,dist_18,Time Series,prophet,18
2009-10-31,969.0,dist_18,Time Series,prophet,18
2009-11-30,840.0,dist_18,Time Series,prophet,18
2009-12-31,760.0,dist_18,Time Series,prophet,18
