rmse,testMean,district,model,DISTRICT_
482.43810987021095,13552.916666666666,city,prophet,0
22.213596050588773,216.75,dist_1,prophet,1
58.92746563811861,582.0833333333334,dist_2,prophet,2
49.06205338415997,729.0833333333334,dist_18,prophet,18
8.538540746677326,54.25,dist_77,prophet,77
46.7070075411161,592.0,dist_3,prophet,3
18.52757455501706,186.08333333333334,dist_5,prophet,5
54.53562106720432,640.25,dist_6,prophet,6
50.91729224856092,738.3333333333334,dist_14,prophet,14
87.38221586119953,391.0,dist_17,prophet,17
26.431604414124386,220.16666666666666,dist_7,prophet,7
47.08271815972599,383.5,dist_8,prophet,8
84.92913033569414,622.0833333333334,dist_9,prophet,9
56.20351978199314,502.0,dist_16,prophet,16
118.41857870576139,972.0833333333334,dist_15,prophet,15
76.84345396399671,942.1666666666666,dist_22,prophet,22
63.0293855232884,1076.0833333333333,dist_24,prophet,24
61.70779359931184,699.0833333333334,dist_12,prophet,12
139.20608689947602,1023.5,dist_19,prophet,19
90.89322058431574,850.5833333333334,dist_35,prophet,35
49.34942630118958,798.3333333333334,dist_25,prophet,25
41.103953395093626,504.6666666666667,dist_26,prophet,26
105.33078248191032,828.8333333333334,dist_39,prophet,39
